retina,id,i,j,unit_num,ntrials,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
R1_E1_AMES_130min_checkerboard_contrast,"R1_E1_AMES_130min_checkerboard_contrast_(2, 6)_1",2,6,1,18,2,0,2,0,0,1,0,0,1,0,5,3,2,1,0,8,72,39,15,3,6,2,3,3,1,1,3,0,0,0,0,0,0,0,0.0
R1_E1_AMES_130min_checkerboard_contrast,"R1_E1_AMES_130min_checkerboard_contrast_(2, 6)_5",2,6,5,18,0,0,0,0,0,0,0,0,0,0,1,4,2,0,0,0,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
R1_E1_AMES_130min_checkerboard_contrast,"R1_E1_AMES_130min_checkerboard_contrast_(2, 6)_4",2,6,4,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0
R1_E1_AMES_130min_checkerboard_contrast,"R1_E1_AMES_130min_checkerboard_contrast_(1, 7)_0",1,7,0,18,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.0
R1_E1_AMES_130min_checkerboard_contrast,"R1_E1_AMES_130min_checkerboard_contrast_(2, 5)_3",2,5,3,18,0,0,0,1,0,0,0,0,0,0,21,76,32,11,5,3,24,16,1,2,1,0,1,3,2,0,0,0,1,0,0,0,0,0,0.0
R1_E1_AMES_130min_checkerboard_contrast,"R1_E1_AMES_130min_checkerboard_contrast_(2, 5)_2",2,5,2,18,0,0,0,0,0,0,0,0,0,0,15,29,11,5,1,6,29,9,2,5,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0.0
R1_E1_AMES_130min_checkerboard_contrast,"R1_E1_AMES_130min_checkerboard_contrast_(2, 5)_4",2,5,4,18,0,0,0,0,0,1,0,0,0,0,30,75,16,4,1,4,83,14,2,1,1,0,0,1,10,0,0,2,0,0,0,0,0,0,0.0
R1_E1_AMES_130min_checkerboard_contrast,"R1_E1_AMES_130min_checkerboard_contrast_(2, 5)_1",2,5,1,18,0,0,0,0,0,1,0,0,0,0,38,110,37,7,12,9,58,18,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0.0
R1_E1_AMES_130min_checkerboard_contrast,"R1_E1_AMES_130min_checkerboard_contrast_(2, 5)_0",2,5,0,18,0,0,0,0,0,0,0,0,0,0,9,32,6,1,1,0,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
R1_E1_AMES_130min_checkerboard_contrast,"R1_E1_AMES_130min_checkerboard_contrast_(1, 6)_0",1,6,0,18,0,0,0,0,0,0,0,0,0,0,37,52,41,16,6,13,63,18,5,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
R1_E1_AMES_130min_checkerboard_contrast,"R1_E1_AMES_130min_checkerboard_contrast_(1, 6)_2",1,6,2,18,0,0,0,0,0,0,0,0,0,0,5,7,0,0,0,1,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
R1_E1_AMES_130min_checkerboard_contrast,"R1_E1_AMES_130min_checkerboard_contrast_(1, 6)_3",1,6,3,18,0,0,0,0,0,0,0,0,0,0,21,39,5,2,5,7,43,11,5,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
R1_E1_AMES_130min_checkerboard_contrast,"R1_E1_AMES_130min_checkerboard_contrast_(1, 6)_1",1,6,1,18,0,0,0,0,0,0,0,0,0,0,27,33,6,1,1,7,48,16,4,2,1,2,0,1,0,0,0,0,0,0,0,0,3,0,0.0
R1_E1_AMES_130min_checkerboard_contrast,"R1_E1_AMES_130min_checkerboard_contrast_(1, 6)_4",1,6,4,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
R1_E1_AMES_130min_checkerboard_contrast,"R1_E1_AMES_130min_checkerboard_contrast_(0, 6)_2",0,6,2,18,0,0,0,0,0,2,0,0,0,0,44,81,30,12,10,17,63,12,3,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0.0
R1_E1_AMES_130min_checkerboard_contrast,"R1_E1_AMES_130min_checkerboard_contrast_(0, 6)_0",0,6,0,18,0,0,0,0,0,0,0,0,0,0,13,16,4,1,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0
